,Title,Role,Company,Location,Ctc,Experience,Skills
117,Remote Data Analyst Job at MUKESH SHARMA,Data Analyst,MUKESH SHARMA,Work from home,"₹ 5,00,000 - 8,00,000",0 years,Python
120,Remote Junior Machine Learning Specialist Job at MUKESH SHARMA,Junior Machine Learning Specialist,MUKESH SHARMA,Work from home,"₹ 8,00,000 - 10,00,000",0 years,Machine Learning
123,Administration Executive Job in Delhi at MOTHERS KITCHEN LLP,Administration Executive,MOTHERS KITCHEN LLP,Delhi,"₹ 2,00,000 - 2,40,000",0-2 years,"Business Analysis,Business Research,Client Relationship,Data Analysis,English Proficiency (Spoken),English Proficiency (Written),Market Analysis,MS-Excel,MS-Office,MS-PowerPoint,MS-Word"
126,Finance Manager Job in Gurgaon at LetsDressUp,Finance Manager,LetsDressUp,Gurgaon,"₹ 3,50,000 - 9,00,000",0-5 years,"Accounting,Data Analysis,Financial Modeling,MS-Excel"
129,Revenue Associate Job in Pune at Atica Global,Revenue Associate,Atica Global,Pune,"₹ 4,00,000 - 4,80,000",0-2 years,Effective Communication
132,Remote Data Analytics Manager Job at Suprem Service,Data Analytics Manager,Suprem Service,Work from home,"₹ 4,00,000 - 6,00,000",0-1 years,Advanced Excel
135,Behavioral Data Scientist Job in Hyderabad at DeepThought Edutech Ventures Private Limited,Behavioral Data Scientist,DeepThought Edutech Ventures Private Limited,Hyderabad,"₹ 3,00,000 - 5,00,000",0 years,Data Science
138,Remote Data Analytics Executive Job at Suprem Service,Data Analytics Executive,Suprem Service,Work from home,"₹ 4,00,000 - 7,00,000",0-1 years,MS-Excel
141,Remote Big Data Executive Job at Suprem Service,Big Data Executive,Suprem Service,Work from home,"₹ 4,00,000 - 7,00,000",0-1 years,SQL
144,Remote Big Data Associate Job at Suprem Service,Big Data Associate,Suprem Service,Work from home,"₹ 4,00,000 - 7,00,000",0-1 years,MS-PowerPoint
147,Senior Technical Content Writer Job in Noida at JavaTpoint,Senior Technical Content Writer,JavaTpoint,Noida,"₹ 2,00,000 - 2,50,000",0-2 years,"AngularJS,C Programming,Data Science,Hibernate (Java),Machine Learning,Python,Spring MVC,SQL"
150,Corporate Sales Executive Job in Thane at BookYourSlot,Corporate Sales Executive,BookYourSlot,Thane,"₹ 2,00,000 - 2,10,000",0-2 years,"Client Relationship,Data Analysis,Effective Communication,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Lead Generation,Market Analysis,MS-Excel,Negotiation & Problem-solving"
153,Remote Equity Research Analyst Job at PeakNorth Investments Private Limited,Equity Research Analyst,PeakNorth Investments Private Limited,Work from home,"₹ 3,00,000 - 6,00,000",0-5 years,"Accounting,Business Research,Financial Modeling"
156,Data Analytics Executive Job in Multiple locations at Fatehpuria Retail Technologies Pvt Ltd,Data Analytics Executive,Fatehpuria Retail Technologies Pvt Ltd,Alwar,"₹ 2,00,000 - 2,25,000",0-2 years,"Data Analytics,Data Science,Power BI,Python,Tableau"
162,Remote Business Analyst Job at The Ishtehaar,Business Analyst,The Ishtehaar,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,English Proficiency (Written)
165,Remote Junior Data Scientist Job at Dataknobs,Junior Data Scientist,Dataknobs,Work from home,"₹ 2,40,000 - 5,00,000",0-5 years,"Data Science,Machine Learning,Natural Language Processing (NLP),Python"
168,Application Development Lead Job in Multiple locations at Vayunix AI,Application Development Lead,Vayunix AI,Ahmedabad,"₹ 2,50,000 - 4,50,000",0-2 years,".NET,APIs,Internet of Things (IoT),Java,Magento,MS SQL Server,Node.js,PostgreSQL,Postman,Python,ReactJS,REST API"
180,Junior Media & Public Relations (PR) Associate Job in Mumbai at BC WEB WISE Private Limited,Junior Media & Public Relations (PR) Associate,BC WEB WISE Private Limited,Mumbai,"₹ 4,00,000 - 7,00,000",0-5 years,"Content Marketing,Data Analysis,Digital Advertising,Effective Communication"
183,Business Analyst Job in Mumbai at Super Scholar,Business Analyst,Super Scholar,Mumbai,"₹ 3,00,000 - 6,00,000",0-5 years,"Business Analysis,Business Research,Effective Communication,English Proficiency (Spoken),English Proficiency (Written),Financial literacy,Product Management,Product Strategy"
186,Operations Executive Job in Delhi at DuDugital Global,Operations Executive,DuDugital Global,Delhi,"₹ 3,00,000 - 3,60,000",0-2 years,"Data Analysis,English Proficiency (Spoken),English Proficiency (Written),MS-Office"
189,Full Stack Developer Job in Ahmedabad at Urbano InfoTech Private Limited,Full Stack Developer,Urbano InfoTech Private Limited,Ahmedabad,"₹ 3,60,000 - 4,20,000",0-2 years,"Data Science,Django,Power BI,Python,React,Tableau,Webflow"
192,Remote Data Analyst Job at Greentern,Data Analyst,Greentern,Work from home,"₹ 4,00,000",0-2 years,MS-Excel
195,Junior Search Engine Optimization (SEO) Executive Job in Jaipur at Xoom Digital,Junior Search Engine Optimization (SEO) Executive,Xoom Digital,Jaipur,"₹ 2,00,000 - 2,40,000",0-2 years,"Content Marketing,Content Writing,Data Analysis,Google Analytics,Search Engine Marketing (SEM),Search Engine Optimization (SEO),WordPress"
198,Business Analyst Job in Mohali at Markestac,Business Analyst,Markestac,Mohali,"₹ 2,00,000 - 5,00,000",0-5 years,Business Analysis
201,Remote Senior Sales Executive Job at Adorilabs,Senior Sales Executive,Adorilabs,Work from home,"₹ 7,00,000 - 8,00,000",0-5 years,"Business Research,CRM,Data Analysis,English Proficiency (Spoken),English Proficiency (Written),Enterprise Resource Planning(ERP),Sales,Salesforce,Sales pitch,SAS"
204,Business Analyst Job in Gurgaon at TwinLine Business Solutions Private Limited,Business Analyst,TwinLine Business Solutions Private Limited,Gurgaon,"₹ 3,00,000 - 8,00,000",0-5 years,"English Proficiency (Spoken),MS-Excel,MS-Office,Research and Analytics"
207,Remote Associate Business Analyst Job at SAPDS Technologies Private Limited,Associate Business Analyst,SAPDS Technologies Private Limited,Work from home,"₹ 3,00,000",0-2 years,"Data Analytics,English Proficiency (Spoken),English Proficiency (Written),Enterprise Resource Planning(ERP),Manual Testing,MS-Excel,Quality Assurance/Quality Control (QA/QC),Research and Analytics,SAP,SQL"
210,Junior Machine Learning Associate Job in Multiple locations at Mentorrbuddy,Junior Machine Learning Associate,Mentorrbuddy,Pune,"₹ 2,00,000 - 2,10,000",0-2 years,"Data Analytics,Data Science,Deep Learning,Machine Learning,Natural Language Processing (NLP),Python,R Programming"
215,Data Analytics Associate Job in Mumbai at Valuetech Solutions,Data Analytics Associate,Valuetech Solutions,Mumbai,"₹ 2,00,000 - 2,00,001",0-2 years,"MS-Excel,MS-Word"
218,STEM Educator Job in Kolkata at Exceed Robotics Works,STEM Educator,Exceed Robotics Works,Kolkata,"₹ 3,00,000 - 6,00,000",0-5 years,"Arduino,ARM Microcontroller,Data Science,Machine Learning,Python"
221,Operation Analyst Job in Mumbai at Ekostay LLP,Operation Analyst,Ekostay LLP,Mumbai,"₹ 2,00,000 - 2,16,000",0-2 years,"Business Analysis,Effective Communication"
224,Purchase Officer Job in Gandhinagar at Xway Elevator,Purchase Officer,Xway Elevator,Gandhinagar,"₹ 2,00,000 - 3,84,512",0-2 years,"Accounting,Data Analysis"
227,Senior Operations Manager Job in Delhi at OCPL Tech (Opulentia Cresco Private Limited),Senior Operations Manager,OCPL Tech (Opulentia Cresco Private Limited),Delhi,"₹ 6,00,000 - 9,50,000",0-5 years,"Business Analysis,Business Research,CRM,Data Analysis,Digital Marketing,Enterprise Resource Planning(ERP),Financial literacy,Financial Modeling,MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Project Management,Quality Assurance/Quality Control (QA/QC),Statutory compliances"
230,Customer Support Executive Job in Hyderabad at Incra Soft Private Limited,Customer Support Executive,Incra Soft Private Limited,Hyderabad,"₹ 2,00,000 - 2,50,000",0-2 years,"Data Analysis,Effective Communication,Sales,Software Testing"
233,Social Media Growth Hacker Job in Hyderabad at Compawnion,Social Media Growth Hacker,Compawnion,Hyderabad,"₹ 3,00,000 - 3,50,000",0-2 years,"Business Analysis,Data Analysis,Google AdWords,Google Analytics,Search Engine Marketing (SEM),Search Engine Optimization (SEO)"
236,Junior Business Analyst Job in Bangalore at Techcanopy,Junior Business Analyst,Techcanopy,Bangalore,"₹ 3,00,000 - 3,50,000",0-2 years,"Data Analytics,English Proficiency (Written),Jira,MS-Office,Research and Analytics,UX Research"
239,Big Data Executive Job in Padrauna at Durga Foundation,Big Data Executive,Durga Foundation,Padrauna,"₹ 2,00,000 - 2,50,000",0-2 years,"Effective Communication,MS-Excel"
242,Data Scientist Job in Pune at Creasophere Tech Private Limited (Sigma Value),Data Scientist,Creasophere Tech Private Limited (Sigma Value),Pune,"₹ 2,00,000 - 2,50,000",0-2 years,"Data Analytics,Data Science,Python,SQL"
245,Machine Learning And AI Engineer Job in Mohali at CodeRoofs IT Solutions,Machine Learning And AI Engineer,CodeRoofs IT Solutions,Mohali,"₹ 5,00,000 - 6,00,000",0-5 years,Machine Learning
248,Relationship Manager Job in Gurgaon at SustVest (Solargridx Ventures Private Limited),Relationship Manager,SustVest (Solargridx Ventures Private Limited),Gurgaon,"₹ 4,00,000 - 6,00,000",0-5 years,"Client Relationship,Data Analysis,Effective Communication,Email Marketing"
251,Research & Mapping Associate Job in Mumbai at Qrata,Research & Mapping Associate,Qrata,Mumbai,"₹ 2,00,000 - 4,50,000",0-2 years,"Business Research,Data Analysis,MS-Excel"
254,Big Data Associate Job in Hyderabad at Biological E. Limited,Big Data Associate,Biological E. Limited,Hyderabad,"₹ 5,50,000 - 7,60,000",0-5 years,"Machine Learning,Power BI,SPSS,SQL,Statistical Modeling"
257,Data Scientist Job in Hyderabad at Chiselon Technologies Pvt Ltd,Data Scientist,Chiselon Technologies Pvt Ltd,Hyderabad,"₹ 5,00,000 - 15,00,000",4-6 years,
260,Data Scientist Job in Bangalore at May I Help You,Data Scientist,May I Help You,Bangalore,"₹ 12,00,000 - 24,00,000",4-6 years,
263,Business Analyst (Stock Market) Job in Indore at Investobazar Wealth Nivesh Pvt Ltd,Business Analyst (Stock Market),Investobazar Wealth Nivesh Pvt Ltd,Indore,"₹ 2,22,000 - 3,00,000",0-2 years,"Business Analysis,Business Research,Effective Communication,English Proficiency (Spoken),Research and Analytics,Sales,Sales pitch"
266,Trainee Job in Mumbai at StelCore Management Services Private Limited,Trainee,StelCore Management Services Private Limited,Mumbai,"₹ 2,00,000 - 2,40,000",0-2 years,Data Analysis
269,Business Analyst Job in Cochin at Forte Recruitment Consultants,Business Analyst,Forte Recruitment Consultants,Cochin,"₹ 10,00,000 - 15,00,000",4-6 years,
272,Business Analyst Job in Thiruvananthapuram at Forte Recruitment Consultants,Business Analyst,Forte Recruitment Consultants,Thiruvananthapuram,"₹ 10,00,000 - 15,00,000",4-6 years,
275,Business Analyst Job in Bangalore at Forte Recruitment Consultants,Business Analyst,Forte Recruitment Consultants,Bangalore,"₹ 10,00,000 - 15,00,000",4-6 years,
